symbols,relations,k,vertical_support,tirp_obj,tirp_str,is_closed,is_super_pattern
"(22,)",(),1,1.0,,RELEASE_EVENT:TRUE,False,False
"(21,)",(),1,1.0,,MEAL_CONTEXT:Lunch,False,False
"(20,)",(),1,1.0,,MEAL_CONTEXT:Dinner,False,False
"(19,)",(),1,1.0,,MEAL_CONTEXT:Breakfast,False,False
"(18,)",(),1,1.0,,GLUCOSE_MEASURE_TREND:Steady,False,False
"(17,)",(),1,1.0,,GLUCOSE_MEASURE_TREND:Increasing,False,False
"(16,)",(),1,1.0,,GLUCOSE_MEASURE_TREND:Decreasing,False,False
"(14,)",(),1,1.0,,GLUCOSE_MEASURE_STATE:Normal Glucose,False,False
"(13,)",(),1,1.0,,GLUCOSE_MEASURE_STATE:Low Glucose,False,False
"(10,)",(),1,1.0,,GLUCOSE_MEASURE_STATE:High Glucose,False,False
"(8,)",(),1,1.0,,DISGLYCEMIA_EVENT:Hyperglycemia,False,False
"(6,)",(),1,1.0,,BOLUS_BITZUA_STATE:SubCutaneous Medium,False,False
"(5,)",(),1,1.0,,BOLUS_BITZUA_STATE:SubCutaneous Low,False,False
"(2,)",(),1,1.0,,BASAL_BITZUA_STATE:SubCutaneous Low,False,False
"(0,)",(),1,1.0,,ADMISSION_EVENT:TRUE,False,False
"(11,)",(),1,0.9,,GLUCOSE_MEASURE_STATE:Hyperglycemia,False,False
"(3,)",(),1,0.9,,BASAL_BITZUA_STATE:SubCutaneous Medium,False,False
"(12,)",(),1,0.8,,GLUCOSE_MEASURE_STATE:Hypoglycemia,False,False
"(9,)",(),1,0.8,,DISGLYCEMIA_EVENT:Hypoglycemia,False,False
"(7,)",(),1,0.8,,DIABETES_DIAGNOSIS_CONTEXT:TRUE,False,False
"(15,)",(),1,0.7,,GLUCOSE_MEASURE_STATE:Severe Hypoglycemia,False,False
"(4,)",(),1,0.7,,BOLUS_BITZUA_STATE:SubCutaneous High,False,False
"(1,)",(),1,0.7,,BASAL_BITZUA_STATE:SubCutaneous High,False,False
"(21, 20)","('<',)",2,1.0,,MEAL_CONTEXT:Lunch < MEAL_CONTEXT:Dinner,False,False
"(20, 2)","('<',)",2,1.0,,MEAL_CONTEXT:Dinner < BASAL_BITZUA_STATE:SubCutaneous Low,False,False
"(20, 8)","('<',)",2,1.0,,MEAL_CONTEXT:Dinner < DISGLYCEMIA_EVENT:Hyperglycemia,False,False
"(19, 21)","('<',)",2,1.0,,MEAL_CONTEXT:Breakfast < MEAL_CONTEXT:Lunch,False,False
"(18, 5)","('o',)",2,1.0,,GLUCOSE_MEASURE_TREND:Steady o BOLUS_BITZUA_STATE:SubCutaneous Low,False,False
"(18, 17)","('<',)",2,1.0,,GLUCOSE_MEASURE_TREND:Steady < GLUCOSE_MEASURE_TREND:Increasing,False,False
"(18, 19)","('o',)",2,1.0,,GLUCOSE_MEASURE_TREND:Steady o MEAL_CONTEXT:Breakfast,False,False
"(18, 14)","('<',)",2,1.0,,GLUCOSE_MEASURE_TREND:Steady < GLUCOSE_MEASURE_STATE:Normal Glucose,False,False
"(18, 18)","('<',)",2,1.0,,GLUCOSE_MEASURE_TREND:Steady < GLUCOSE_MEASURE_TREND:Steady,False,False
"(18, 8)","('<',)",2,1.0,,GLUCOSE_MEASURE_TREND:Steady < DISGLYCEMIA_EVENT:Hyperglycemia,False,False
"(18, 16)","('<',)",2,1.0,,GLUCOSE_MEASURE_TREND:Steady < GLUCOSE_MEASURE_TREND:Decreasing,False,False
"(17, 19)","('<',)",2,1.0,,GLUCOSE_MEASURE_TREND:Increasing < MEAL_CONTEXT:Breakfast,False,False
"(17, 8)","('c',)",2,1.0,,GLUCOSE_MEASURE_TREND:Increasing c DISGLYCEMIA_EVENT:Hyperglycemia,False,False
"(17, 18)","('<',)",2,1.0,,GLUCOSE_MEASURE_TREND:Increasing < GLUCOSE_MEASURE_TREND:Steady,False,False
"(17, 8)","('<',)",2,1.0,,GLUCOSE_MEASURE_TREND:Increasing < DISGLYCEMIA_EVENT:Hyperglycemia,False,False
"(16, 17)","('<',)",2,1.0,,GLUCOSE_MEASURE_TREND:Decreasing < GLUCOSE_MEASURE_TREND:Increasing,False,False
"(16, 18)","('<',)",2,1.0,,GLUCOSE_MEASURE_TREND:Decreasing < GLUCOSE_MEASURE_TREND:Steady,False,False
"(16, 8)","('c',)",2,1.0,,GLUCOSE_MEASURE_TREND:Decreasing c DISGLYCEMIA_EVENT:Hyperglycemia,False,False
"(14, 17)","('<',)",2,1.0,,GLUCOSE_MEASURE_STATE:Normal Glucose < GLUCOSE_MEASURE_TREND:Increasing,False,False
"(14, 18)","('<',)",2,1.0,,GLUCOSE_MEASURE_STATE:Normal Glucose < GLUCOSE_MEASURE_TREND:Steady,False,False
"(14, 8)","('<',)",2,1.0,,GLUCOSE_MEASURE_STATE:Normal Glucose < DISGLYCEMIA_EVENT:Hyperglycemia,False,False
"(14, 10)","('<',)",2,1.0,,GLUCOSE_MEASURE_STATE:Normal Glucose < GLUCOSE_MEASURE_STATE:High Glucose,False,False
"(13, 18)","('<',)",2,1.0,,GLUCOSE_MEASURE_STATE:Low Glucose < GLUCOSE_MEASURE_TREND:Steady,False,False
"(13, 16)","('c',)",2,1.0,,GLUCOSE_MEASURE_STATE:Low Glucose c GLUCOSE_MEASURE_TREND:Decreasing,False,False
"(13, 14)","('<',)",2,1.0,,GLUCOSE_MEASURE_STATE:Low Glucose < GLUCOSE_MEASURE_STATE:Normal Glucose,False,False
"(13, 18)","('c',)",2,1.0,,GLUCOSE_MEASURE_STATE:Low Glucose c GLUCOSE_MEASURE_TREND:Steady,False,False
"(10, 16)","('<',)",2,1.0,,GLUCOSE_MEASURE_STATE:High Glucose < GLUCOSE_MEASURE_TREND:Decreasing,False,False
"(10, 18)","('<',)",2,1.0,,GLUCOSE_MEASURE_STATE:High Glucose < GLUCOSE_MEASURE_TREND:Steady,False,False
"(10, 13)","('<',)",2,1.0,,GLUCOSE_MEASURE_STATE:High Glucose < GLUCOSE_MEASURE_STATE:Low Glucose,False,False
"(10, 8)","('c',)",2,1.0,,GLUCOSE_MEASURE_STATE:High Glucose c DISGLYCEMIA_EVENT:Hyperglycemia,False,False
"(8, 13)","('<',)",2,1.0,,DISGLYCEMIA_EVENT:Hyperglycemia < GLUCOSE_MEASURE_STATE:Low Glucose,False,False
"(8, 18)","('<',)",2,1.0,,DISGLYCEMIA_EVENT:Hyperglycemia < GLUCOSE_MEASURE_TREND:Steady,False,False
"(8, 5)","('<',)",2,1.0,,DISGLYCEMIA_EVENT:Hyperglycemia < BOLUS_BITZUA_STATE:SubCutaneous Low,False,False
"(6, 8)","('c',)",2,1.0,,BOLUS_BITZUA_STATE:SubCutaneous Medium c DISGLYCEMIA_EVENT:Hyperglycemia,False,False
"(5, 18)","('<',)",2,1.0,,BOLUS_BITZUA_STATE:SubCutaneous Low < GLUCOSE_MEASURE_TREND:Steady,False,False
"(5, 8)","('c',)",2,1.0,,BOLUS_BITZUA_STATE:SubCutaneous Low c DISGLYCEMIA_EVENT:Hyperglycemia,False,False
"(2, 20)","('c',)",2,1.0,,BASAL_BITZUA_STATE:SubCutaneous Low c MEAL_CONTEXT:Dinner,False,False
"(2, 21)","('c',)",2,1.0,,BASAL_BITZUA_STATE:SubCutaneous Low c MEAL_CONTEXT:Lunch,False,False
"(2, 5)","('c',)",2,1.0,,BASAL_BITZUA_STATE:SubCutaneous Low c BOLUS_BITZUA_STATE:SubCutaneous Low,False,False
"(2, 16)","('c',)",2,1.0,,BASAL_BITZUA_STATE:SubCutaneous Low c GLUCOSE_MEASURE_TREND:Decreasing,False,False
"(2, 19)","('c',)",2,1.0,,BASAL_BITZUA_STATE:SubCutaneous Low c MEAL_CONTEXT:Breakfast,False,False
"(2, 18)","('c',)",2,1.0,,BASAL_BITZUA_STATE:SubCutaneous Low c GLUCOSE_MEASURE_TREND:Steady,False,False
"(2, 8)","('c',)",2,1.0,,BASAL_BITZUA_STATE:SubCutaneous Low c DISGLYCEMIA_EVENT:Hyperglycemia,False,False
"(21, 18)","('o',)",2,0.9,,MEAL_CONTEXT:Lunch o GLUCOSE_MEASURE_TREND:Steady,False,False
"(21, 5)","('o',)",2,0.9,,MEAL_CONTEXT:Lunch o BOLUS_BITZUA_STATE:SubCutaneous Low,False,False
"(21, 8)","('<',)",2,0.9,,MEAL_CONTEXT:Lunch < DISGLYCEMIA_EVENT:Hyperglycemia,False,False
"(21, 16)","('<',)",2,0.9,,MEAL_CONTEXT:Lunch < GLUCOSE_MEASURE_TREND:Decreasing,False,False
"(20, 6)","('o',)",2,0.9,,MEAL_CONTEXT:Dinner o BOLUS_BITZUA_STATE:SubCutaneous Medium,False,False
"(20, 18)","('<',)",2,0.9,,MEAL_CONTEXT:Dinner < GLUCOSE_MEASURE_TREND:Steady,False,False
"(20, 3)","('<',)",2,0.9,,MEAL_CONTEXT:Dinner < BASAL_BITZUA_STATE:SubCutaneous Medium,False,False
"(20, 16)","('<',)",2,0.9,,MEAL_CONTEXT:Dinner < GLUCOSE_MEASURE_TREND:Decreasing,True,False
"(20, 5)","('o',)",2,0.9,,MEAL_CONTEXT:Dinner o BOLUS_BITZUA_STATE:SubCutaneous Low,False,False
"(19, 13)","('o',)",2,0.9,,MEAL_CONTEXT:Breakfast o GLUCOSE_MEASURE_STATE:Low Glucose,False,False
"(19, 8)","('c',)",2,0.9,,MEAL_CONTEXT:Breakfast c DISGLYCEMIA_EVENT:Hyperglycemia,False,False
"(19, 18)","('o',)",2,0.9,,MEAL_CONTEXT:Breakfast o GLUCOSE_MEASURE_TREND:Steady,False,False
"(19, 18)","('<',)",2,0.9,,MEAL_CONTEXT:Breakfast < GLUCOSE_MEASURE_TREND:Steady,False,False
"(19, 5)","('o',)",2,0.9,,MEAL_CONTEXT:Breakfast o BOLUS_BITZUA_STATE:SubCutaneous Low,False,False
"(19, 5)","('<',)",2,0.9,,MEAL_CONTEXT:Breakfast < BOLUS_BITZUA_STATE:SubCutaneous Low,False,False
"(19, 6)","('o',)",2,0.9,,MEAL_CONTEXT:Breakfast o BOLUS_BITZUA_STATE:SubCutaneous Medium,True,False
"(18, 8)","('c',)",2,0.9,,GLUCOSE_MEASURE_TREND:Steady c DISGLYCEMIA_EVENT:Hyperglycemia,False,False
"(18, 6)","('<',)",2,0.9,,GLUCOSE_MEASURE_TREND:Steady < BOLUS_BITZUA_STATE:SubCutaneous Medium,False,False
"(18, 20)","('<',)",2,0.9,,GLUCOSE_MEASURE_TREND:Steady < MEAL_CONTEXT:Dinner,False,False
